"管理用番号","市町村コード","基準地番号・標準地番号(最新年)","地価調査・地価公示の別","用途","所在(市町村名)","所在(大字以降)","所在(住居表示)","経度(世界測地系)","緯度(世界測地系)","平成5年(1993)","平成6年(1994)","平成7年(1995)","平成8年(1996)","平成9年(1997)","平成10年(1998)","平成11年(1999)","平成12年(2000)","平成13年(2001)","平成14年(2002)","平成15年(2003)","平成16年(2004)","平成17年(2005)","平成18年(2006)","平成19年(2007)","平成20年(2008)","平成21年(2009)","平成22年(2010)","平成23年(2011)","平成24年(2012)","平成25年(2013)","平成26年(2014)","平成27年(2015)","平成28年(2016)","平成29年(2017)","経度","緯度","分類"
"100021","302015","【旧】和歌山-21(平成25年廃止)","地価公示(廃止地点)","住宅","和歌山市","津秦字奥ノ畑５番１８","","135.2067696","34.22335118","160,000 ","158,000 ","158,000 ","156,000 ","153,000 ","149,000 ","141,000 ","132,000 ","125,000 ","120,000 ","113,000 ","106,000 ","99,800 ","94,800 ","92,500 ","91,100 ","88,500 ","85,300 ","82,500 ","79,900 ","","","","","","135.206769600399","34.2233511799489","地価公示標準地(廃止地点)"
"100092","302023","【旧】海南-4(平成25年廃止)","地価公示(廃止地点)","住宅","海南市","重根字比瀬８８７番７","","135.2526459","34.15179873","82,300 ","81,500 ","81,500 ","81,500 ","81,000 ","81,000 ","80,000 ","79,000 ","77,700 ","76,000 ","72,500 ","69,200 ","62,900 ","57,000 ","52,800 ","49,700 ","47,000 ","44,300 ","41,400 ","39,000 ","","","","","","135.252645900501","34.151798729968","地価公示標準地(廃止地点)"
"100129","302074","【旧】新宮-3(平成25年廃止)","地価公示(廃止地点)","住宅","新宮市","三輪崎２丁目８０７番５","三輪崎２－２－３１","135.9841306","33.68754613","","","66,000 ","66,000 ","66,000 ","65,200 ","64,500 ","63,900 ","62,500 ","61,200 ","60,100 ","58,200 ","56,600 ","55,000 ","53,500 ","52,000 ","50,500 ","48,500 ","46,600 ","44,000 ","","","","","","135.984130599849","33.6875461300245","地価公示標準地(廃止地点)"
"100160","303666","【旧】有田川-1(平成25年廃止)","地価公示(廃止地点)","住宅","有田川町","大字徳田字北垣内２２９番２","","135.2492461","34.06179706","","61,000 ","61,000 ","61,000 ","61,000 ","61,000 ","60,000 ","59,000 ","58,000 ","56,600 ","55,400 ","51,800 ","49,200 ","47,600 ","47,000 ","46,500 ","45,200 ","43,200 ","40,000 ","37,600 ","","","","","","135.249246100293","34.0617970599915","地価公示標準地(廃止地点)"
"100175","304018","【旧】白浜-3(平成25年廃止)","地価公示(廃止地点)","住宅","白浜町","日置字海蔵寺前１６７番１","","135.4451499","33.56895984","","","","","","","","23,000 ","22,600 ","22,200 ","21,700 ","21,200 ","20,700 ","20,300 ","20,100 ","19,900 ","19,700 ","19,300 ","18,900 ","18,500 ","","","","","","135.445149899957","33.568959840023","地価公示標準地(廃止地点)"
"100053","302015","【旧】和歌山3-1(平成26年廃止)","地価公示(廃止地点)","宅見","和歌山市","梅原字塩田６１番","","135.1409133","34.26041027","","","","","","52,000 ","45,000 ","40,500 ","38,000 ","35,000 ","32,500 ","29,600 ","25,200 ","21,800 ","19,500 ","18,000 ","17,000 ","15,900 ","15,100 ","14,300 ","13,600 ","","","","","135.140913299861","34.2604102700232","地価公示標準地(廃止地点)"
"100078","302015","【旧】和歌山5-26(平成26年廃止)","地価公示(廃止地点)","商業","和歌山市","吹屋町３丁目１９番２","","135.1879708","34.22567445","225,000 ","215,000 ","215,000 ","210,000 ","205,000 ","201,000 ","189,000 ","174,000 ","161,000 ","153,000 ","144,000 ","134,000 ","126,000 ","121,000 ","118,000 ","119,000 ","113,000 ","110,000 ","106,000 ","101,000 ","98,300 ","","","","","135.187970800462","34.2256744499672","地価公示標準地(廃止地点)"
"100080","302015","【旧】和歌山5-25(平成26年廃止)","地価公示(廃止地点)","商業","和歌山市","手平４丁目１４４番１","手平４－３－１５","135.1866235","34.21739681","","","188,000 ","182,000 ","177,000 ","172,000 ","163,000 ","152,000 ","145,000 ","138,000 ","130,000 ","122,000 ","112,000 ","104,000 ","100,000 ","96,900 ","90,200 ","82,700 ","77,000 ","73,400 ","71,000 ","","","","","135.186623500187","34.2173968100011","地価公示標準地(廃止地点)"
"100124","302066","【旧】田辺-5(平成26年廃止)","地価公示(廃止地点)","住宅","田辺市","上秋津字岩内７２０番３","","135.3989675","33.75559444","","","","","","","","","","","","","","37,500 ","36,900 ","36,300 ","35,500 ","34,300 ","32,800 ","31,500 ","30,200 ","","","","","135.398967500251","33.7555944399799","地価公示標準地(廃止地点)"
"100172","303917","【旧】みなべ5-2(平成26年廃止)","地価公示(廃止地点)","商業","みなべ町","徳蔵字白田１５６番４外","","135.3239404","33.78231393","","","","","","","","","","","","","","58,000 ","56,200 ","54,500 ","52,200 ","49,600 ","46,800 ","44,000 ","41,200 ","","","","","135.323940400013","33.7823139300371","地価公示標準地(廃止地点)"
"100177","304018","【旧】白浜5-2(平成26年廃止)","地価公示(廃止地点)","商業","白浜町","日置字蛇原２０３９番６２外","","135.4319013","33.57051349","","","","","","","","40,000 ","39,000 ","38,000 ","37,000 ","36,400 ","35,800 ","35,200 ","34,700 ","34,200 ","33,600 ","32,900 ","32,100 ","31,400 ","29,900 ","","","","","135.431901299557","33.570513489959","地価公示標準地(廃止地点)"
"100185","304212","【旧】那智勝浦-2(平成26年廃止)","地価公示(廃止地点)","住宅","那智勝浦町","大字宇久井字中芝１９３番２外","","135.9740498","33.66129527","","40,000 ","40,000 ","40,000 ","40,000 ","39,800 ","38,400 ","37,500 ","36,500 ","35,200 ","33,800 ","31,800 ","29,800 ","28,000 ","27,200 ","26,500 ","25,600 ","24,600 ","22,600 ","20,500 ","18,700 ","","","","","135.974049800323","33.6612952699704","地価公示標準地(廃止地点)"
"100065","302015","【旧】和歌山5-12*(平成27年廃止)","地価公示(廃止地点)","商業","和歌山市","本町１丁目３３番","","135.1747288","34.23370726","","","","","","","","650,000 ","580,000 ","442,000 ","362,000 ","297,000 ","225,000 ","190,000 ","175,000 ","171,000 ","160,000 ","149,000 ","138,000 ","127,000 ","120,000 ","116000","","","","135.174728799549","34.2337072599628","地価公示標準地(廃止地点)"
"100093","302023","【旧】海南-5(平成27年廃止)","地価公示(廃止地点)","住宅","海南市","名高字井引６８番５","","135.2159476","34.15568831","","145,000 ","145,000 ","142,000 ","141,000 ","139,000 ","138,000 ","137,000 ","134,000 ","129,000 ","121,000 ","115,000 ","105,000 ","96,000 ","89,000 ","85,600 ","83,000 ","80,000 ","77,000 ","74,800 ","73,800 ","72900","","","","135.215947599508","34.1556883099478","地価公示標準地(廃止地点)"
"100107","302031","【旧】橋本5-2(平成27年廃止)","地価公示(廃止地点)","商業","橋本市","御幸辻字中森垣内４７０番２外","","135.6030433","34.33796617","","","142,000 ","140,000 ","138,000 ","136,000 ","126,000 ","119,000 ","113,000 ","107,000 ","99,500 ","91,200 ","84,000 ","76,000 ","71,000 ","69,800 ","67,900 ","64,300 ","61,000 ","58,800 ","55,300 ","52000","","","","135.603043300037","34.3379661700426","地価公示標準地(廃止地点)"
"100155","303445","【旧】高野-1(平成27年廃止)","地価公示(廃止地点)","住宅","高野町","大字高野山字南谷７９番４外","","135.5802653","34.21066879","","45,000 ","45,000 ","45,000 ","45,000 ","45,000 ","45,000 ","45,000 ","44,800 ","44,600 ","44,200 ","43,200 ","42,300 ","41,500 ","40,900 ","40,900 ","40,000 ","38,900 ","37,800 ","35,700 ","32,600 ","29700","","","","135.580265299702","34.2106687900105","地価公示標準地(廃止地点)"
"100088","302015","【旧】和歌山-41(平成28年廃止)","地価公示(廃止地点)","住宅","和歌山市","上黒谷字東前田７５番","","135.2640855","34.27259999","43,500 ","43,000 ","43,000 ","43,000 ","43,000 ","43,000 ","42,500 ","42,000 ","41,500 ","41,000 ","40,500 ","39,000 ","36,000 ","33,500 ","31,500 ","30,300 ","29,200 ","28,000 ","26,500 ","25,400 ","24,100 ","22,700 ","21,800 ","","","135.264085500142","34.2725999899668","地価公示標準地(廃止地点)"
"100099","302023","【旧】海南5-2(平成28年廃止)","地価公示(廃止地点)","商業","海南市","下津町黒田字川端５１番９","","135.159144","34.12623347","","","165,000 ","162,000 ","159,000 ","156,000 ","152,000 ","148,000 ","142,000 ","135,000 ","126,000 ","115,000 ","103,000 ","92,700 ","84,500 ","78,900 ","73,700 ","68,900 ","64,300 ","60,500 ","57,400 ","54,800 ","52,400 ","","","135.159143999828","34.1262334699744","地価公示標準地(廃止地点)"
"100194","302074","【旧】新宮5-1(平成28年廃止)","地価公示(廃止地点)","商業","新宮市","仲之町２丁目２番４外","","135.9883669","33.72909065","","","","","","","","","","","","","","","","","","","","72,000 ","65,300 ","62,000 ","57,300 ","","","135.988366900463","33.7290906500135","地価公示標準地(廃止地点)"
